ansid,anstext,anscorrect,queid
1,"Множество операций, которые переводят базу из одного корректного состояния в другое корректного состояние при условии, что транзакция выполнена полностью и без помех со стороны других транзакций",true,1
2,"Один SQL оператор, выполняемый от пользователя postgres",false,1
3,"Множество операций, которые переводят базу из одного состояния в другое. Транзакция может выполнится не полностью",false,1
4,Не подвергающийся блокировкам SQL оператор,false,1
5,"Это набор свойств предъявляемых к транзакциям, которые обязательно должны выполняться. В ACID входят: Атомарность, Согласованность, Изоляция, Долговечность",true,2
6,Транзакции переводят базу из одного согласованного состояния в другое согласованное состояние. Согласованность - выполнение определенных ограничений,true,3
7,"Транзакция либо выполняется полностью, либо не выполняется вообще",true,4
8,Параллельно выполняющиеся транзакции не должны оказывать влияние друг на друга,true,5
9,Данные после фиксации не должны потеряться даже в случае сбоя,true,6
10,"""Грязное"" чтение, неповторяющееся чтение, фантомное чтение",true,7
11,"""Чистое"" чтение, неповторяющееся чтение, фантомное чтение",false,7
12,"""Грязное"" чтение, неповторимое чтение, фантомное чтение",false,7
13,"""Грязное"" чтение, неповторяющееся чтение, призрачное чтение",false,7
14,Запрос видит незафиксированные изменения других транзакций,true,8
15,"Повторное чтение строки вернет другое значение, если оно было изменено и зафиксировано другой транзакцией",true,9
16,"Повторные запрос по одному и тому же условию вернет иную выборку, если другая транзакция добавила и зафиксировала новые строки, удовлетворяющие этому условию",true,10
17,"Read Uncommited, Read Commited, Repeatable Read, Serializable",true,11
18,"""Грязное"" чтение, неповторяющееся чтение, фантомное чтение",true,12
19,"Неповторяющееся чтение, фантомное чтение",true,13
20,Фантомное чтение,true,14
21,Не допускает никаких аномалий,true,15
22,"Неповторяющееся чтение, Фантомное чтение",true,16
23,"Неповторяющееся чтение, фантомное чтение",true,17
24,Допускаются другие аномалии,true,18
25,"Никакие, полная изоляция",true,19
26,Нет,true,20
27,"Read Commited, Repeatable Read, Serializable",true,21
28,Read Commited,true,22
29,Repeatable Read,true,23
30,Serializable,true,24
31,Read Commited,true,25
